	Oscillates
0	0.225973779
1	0.146047705
2	0.141356366
3	0.125822917
4	0.132738676
5	0.117205234
6	0.125941474
7	0.117687356
8	0.119114397
9	0.121522832
10	0.120198513
11	0.116497745
12	0.115665745
13	0.116045252
14	0.120392442
15	0.107930874
16	0.121203453
17	0.113319039
18	0.108760595
19	0.102361387
20	0.117361891
21	0.109835954
22	0.107803152
23	0.113773512
24	0.100231608
25	0.103567329
26	0.102180217
27	0.104326297
28	0.109611576
29	0.095254766
30	0.102274864
31	0.100936265
32	0.099064385
33	0.101451244
34	0.099358122
35	0.098210431
36	0.10344468
37	0.098472041
38	0.099246674
39	0.099496835
40	0.093473671
41	0.105714009
42	0.100950705
43	0.090021719
44	0.092615804
45	0.10620951
46	0.094832502
47	0.10494055
48	0.093429145
49	0.098913569
50	0.098064812
51	0.093959561
52	0.095790847
53	0.098985823
54	0.087860491
55	0.101785836
56	0.093517147
57	0.091901417
58	0.096439967
59	0.095097009
60	0.096046492
61	0.086422827
62	0.095329499
63	0.09615455
64	0.080847875
65	0.096296378
66	0.084628508
67	0.087680922
68	0.096815528
69	0.092379779
70	0.089644498
71	0.088784688
72	0.086086104
73	0.090886894
74	0.086588694
75	0.088187779
76	0.09126747
77	0.094484494
78	0.098995614
79	0.086579642
80	0.089219094
81	0.092292494
82	0.089870745
83	0.094726175
84	0.093395193
85	0.101269087
86	0.089286127
87	0.083237149
88	0.090425169
89	0.095552598
90	0.089287871
91	0.082608565
92	0.088619533
93	0.087733611
94	0.096152289
95	0.087488524
96	0.09325456
97	0.092453711
98	0.089632226
99	0.083040096
100	0.081801723
101	0.091338322
102	0.084653316
103	0.095534866
104	0.090078596
105	0.084740793
106	0.081555552
107	0.085512898
108	0.078498288
109	0.09183572
110	0.086302484
111	0.084806351
112	0.08206672
113	0.085252253
114	0.093125585
115	0.088038791
116	0.086836388
117	0.092026805
118	0.084586565
119	0.087327812
120	0.085405528
121	0.091289737
122	0.080672193
123	0.088938605
124	0.081595962
125	0.084448821
126	0.084123646
127	0.093811626
128	0.092244452
129	0.086730105
130	0.083507289
131	0.087506812
132	0.081369088
133	0.08150892
134	0.089344612
135	0.086019952
136	0.077548931
137	0.087048146
138	0.083030956
139	0.079052029
140	0.088374133
141	0.084727193
142	0.087154795
143	0.084339609
144	0.086474902
145	0.081541609
146	0.095871199
147	0.084247755
148	0.077159797
149	0.087808155
150	0.08906947
151	0.087021695
152	0.081768237
153	0.091371637
154	0.087225596
155	0.078341383
156	0.083054416
157	0.08670546
158	0.081741597
159	0.08343635
160	0.087181801
161	0.081899135
162	0.076870842
163	0.088022504
164	0.074722477
165	0.091568628
166	0.08836105
167	0.085379259
168	0.079355373
169	0.093391324
170	0.086541238
171	0.080366364
172	0.081424003
173	0.09014701
174	0.084316419
175	0.088676079
176	0.084719042
177	0.089068169
178	0.084582347
179	0.084596798
180	0.079884808
181	0.083860027
182	0.086457052
183	0.074088935
184	0.100150365
185	0.078399605
186	0.085510071
187	0.085406189
188	0.086456722
189	0.083798987
190	0.089966169
191	0.087836348
192	0.080485919
193	0.086621582
194	0.089019229
195	0.092308874
196	0.086183636
197	0.089046018
198	0.083062824
199	0.085937016
