	Converges Quickly
0	0.230631176
1	0.14692876
2	0.12311238
3	0.107841093
4	0.09857594
5	0.094643192
6	0.091339239
7	0.090331991
8	0.087671335
9	0.086223735
10	0.087454393
11	0.085666079
12	0.085469464
13	0.086331665
14	0.084510617
15	0.082593894
16	0.082746949
17	0.083268092
18	0.078730355
19	0.081994863
20	0.081305386
21	0.08241406
22	0.082720719
23	0.081304417
24	0.08093069
25	0.081024298
26	0.08095074
27	0.080065913
28	0.079173597
29	0.078996906
30	0.078613364
31	0.080823921
32	0.078374613
33	0.076453266
34	0.079922272
35	0.078202991
36	0.078295712
37	0.077521664
38	0.07933225
39	0.078085226
40	0.077389718
41	0.077508342
42	0.078592254
43	0.076436439
44	0.076925806
45	0.077635878
46	0.075345197
47	0.077025398
48	0.073961255
49	0.076358017
50	0.077730757
51	0.074157917
52	0.074533787
53	0.076154671
54	0.07769383
