Nodes	Loss
5	6.027%
4	6.039%
5	6.126%
9	6.127%
12	6.259%
5	6.317%
4	6.319%
8	6.349%
10	6.373%
4	6.381%
10	6.410%
7	6.428%
15	6.461%
11	6.493%
6	6.535%
11	6.554%
11	6.585%
6	6.594%
13	6.597%
14	6.640%
10	6.685%
6	6.699%
3	6.727%
2	6.754%
8	6.789%
9	6.805%
6	6.813%
3	6.825%
9	6.866%
7	6.919%
9	6.992%
11	7.067%
13	7.130%
9	7.292%
10	7.331%
12	7.540%
13	7.619%
11	7.641%
14	7.715%
7	7.794%
12	8.454%
18	8.133%
18	8.133%
11	8.136%
13	8.138%
14	8.183%
7	8.206%
12	8.247%
10	8.349%
13	8.499%
13	8.531%
8	8.540%
14	8.563%
10	8.627%
11	8.677%
7	8.840%
12	8.850%
12	9.034%
9	9.070%
16	9.136%
11	9.143%
15	9.157%
8	9.168%
10	9.246%
6	9.350%
4	9.445%
14	9.480%
12	9.631%
17	9.993%
15	10.074%
9	10.099%
8	10.437%
16	11.186%
6	11.358%
